IdVenta,Cliente,Departamento,Producto,Cantidad,Precio,FechaVenta
3001,César López,San Miguel,Laptop,1,855.00,2026-05-01
3002,Ana Martínez,Usulután,Mouse,5,15.50,2026-05-01
3003,David Ramos,La Unión,Monitor,2,218.00,2026-05-02
3004,Mónica Pérez,Morazán,Teclado,3,30.00,2026-05-02
3005,Rosa Flores,San Miguel,Tablet,1,320.00,2026-05-03
3006,Kevin Hernández,Usulután,Disco SSD,2,94.00,2026-05-03
3007,Silvia Gómez,La Unión,Impresora,1,182.00,2026-05-04
3008,Pedro Cruz,Morazán,Router,1,122.00,2026-05-04
3009,Carlos Rivera,San Miguel,Switch,2,176.00,2026-05-05
3010,María Torres,Usulután,Mouse,7,15.00,2026-05-05
3011,José Vega,La Unión,Laptop,1,870.00,2026-05-06
3012,Andrea Ortiz,Morazán,Monitor,2,225.00,2026-05-06
3013,Luis Castillo,San Miguel,Memoria RAM,3,69.00,2026-05-07
3014,Karen Salazar,Usulután,Teclado,2,-32.00,2026-05-07
3015,Hugo Chávez,La Unión,Tablet,2,315.00,2026-05-08
3016,Diana Molina,Morazán,Disco SSD,4,93.00,2026-05-08
3017,Raúl Herrera,San Miguel,Mouse,0,15.00,2026-05-09
3018,Sandra Campos,Usulután,Impresora,1,184.00,2026-05-09
3019,Patricia Romero,La Unión,Router,1,120.00,2026-05-10
3020,Julio Peña,Morazán,Switch,2,178.00,2026-05-10
3021,César López,San Miguel,Laptop,1,855.00,2026-05-01
3022,Fernando Díaz,Usulután,Monitor,1,219.00,2026-05-11
3023,Laura Castro,La Unión,Tablet,2,318.00,2026-05-11
3024,Ricardo Flores,Morazán,Mouse,6,15.50,2026-13-11
3025,Gloria Ramos,San Miguel,Router,-3,119.00,2026-05-12
